year,month,Electricity Used,index
2562,1," 69,531,803 ",1
,2," 70,361,698 ",2
,3," 82,828,923 ",3
,4," 86,760,812 ",4
,5," 92,590,682 ",5
,6," 87,526,261 ",6
,7," 88,795,246 ",7
,8," 89,516,243 ",8
,9," 72,325,043 ",9
,10," 74,925,423 ",10
,11," 75,901,316 ",11
,12," 70,507,595 ",12
2563,1," 71,030,030 ",13
,2," 68,087,981 ",14
,3," 78,910,001 ",15
,4," 76,978,117 ",16
,5," 79,514,827 ",17
,6," 75,388,750 ",18
,7," 76,736,357 ",19
,8," 75,972,846 ",20
,9," 74,575,022 ",21
,10," 75,228,614 ",22
,11," 70,027,647 ",23
,12," 63,591,334 ",24
2564,1," 61,771,896 ",25
,2," 66,598,223 ",26
,3," 81,171,065 ",27
,4," 71,816,244 ",28
,5," 77,365,103 ",29
,6," 78,903,710 ",30
,7," 75,753,620 ",31
,8," 75,628,686 ",32
,9," 74,971,992 ",33
,10," 70,114,685 ",34
,11," 68,447,192 ",35
,12," 66,342,879 ",36
,,,
